Agent Name,Wins,Losses,Performance
Generation:,1
XOJX,42,50,0.0,Weights:,-0.568,-0.748,-0.412,-0.406,-0.481,0.492
KPYL,85,7,0.0,Weights:,0.558,-0.804,0.573,0.545,-0.085,-0.742
SVZG,38,54,0.0,Weights:,-0.222,0.207,-0.253,0.736,-0.103,-0.837
HRTR,49,43,0.0,Weights:,0.547,-0.891,-0.229,0.601,0.293,0.836
LSHJ,47,45,0.0,Weights:,-0.453,-0.083,-0.569,0.339,0.18,-0.033
RHVL,3,89,0.0,Weights:,0.895,-0.575,-0.814,-0.431,0.243,0.513
ADNE,75,17,0.0,Weights:,-0.485,-0.63,0.365,0.324,0.654,-0.82
ELTB,7,85,0.0,Weights:,-0.875,0.882,-0.232,-0.065,-0.113,-0.183
SJSN,57,35,0.0,Weights:,0.783,0.143,0.284,-0.164,0.597,-0.048
VOUD,44,48,0.0,Weights:,0.775,0.845,0.833,-0.701,-0.663,-0.719
QBSS,43,49,0.0,Weights:,-0.827,0.614,-0.498,0.447,0.518,-0.82
ZRPQ,82,10,0.0,Weights:,0.862,0.39,0.847,-0.198,0.353,0.602
QXER,44,48,0.0,Weights:,-0.45,-0.678,0.363,0.197,-0.481,0.046
MTDH,40,52,0.0,Weights:,0.437,0.811,0.186,-0.356,0.365,0.644
AMLV,35,57,0.0,Weights:,0.807,0.866,-0.05,-0.546,0.155,0.776
SOHY,41,51,0.0,Weights:,-0.049,-0.149,0.157,-0.268,0.581,-0.666
TAJW,54,38,0.0,Weights:,0.051,-0.669,0.854,-0.251,0.139,-0.084
DYFJ,9,83,0.0,Weights:,-0.841,-0.445,-0.853,-0.674,-0.435,-0.628
ROIE,39,53,0.0,Weights:,-0.261,0.696,0.012,-0.511,-0.711,-0.607
DCTG,32,60,0.0,Weights:,0.887,-0.705,-0.346,0.83,0.849,0.505
JRAB,32,60,0.0,Weights:,-0.377,-0.766,0.706,-0.13,-0.791,0.347
LORW,47,45,0.0,Weights:,0.336,-0.366,-0.511,0.209,0.349,-0.226
ILCT,79,13,0.0,Weights:,0.76,-0.576,0.79,0.244,-0.527,0.055
PCQY,41,51,0.0,Weights:,0.808,-0.234,-0.135,-0.404,-0.749,-0.465
IRXK,56,36,0.0,Weights:,-0.601,0.326,0.762,-0.67,-0.723,-0.754
DMAJ,40,52,0.0,Weights:,0.284,0.883,0.137,0.545,-0.635,0.708
JSUY,79,13,0.0,Weights:,0.47,0.087,0.778,0.614,0.579,-0.896
BJOJ,45,47,0.0,Weights:,0.248,0.287,-0.551,-0.129,0.199,-0.881
LOKJ,43,49,0.0,Weights:,-0.547,0.12,-0.013,0.128,-0.569,-0.537
AWLF,14,78,0.0,Weights:,-0.742,0.859,-0.292,-0.75,-0.194,0.114
DZHI,52,40,0.0,Weights:,0.349,0.746,0.065,-0.099,-0.321,0.754
BYZH,40,52,0.0,Weights:,0.672,-0.204,0.465,-0.288,-0.736,-0.078
ZCHF,41,51,0.0,Weights:,0.43,0.841,0.044,0.501,-0.816,0.611
LVUQ,43,49,0.0,Weights:,0.402,-0.172,-0.572,-0.496,0.374,-0.857
WZXT,42,50,0.0,Weights:,0.598,0.74,-0.189,-0.848,-0.762,-0.269
KAYO,61,31,0.0,Weights:,0.865,-0.847,0.22,0.119,0.564,-0.07
FNXB,52,40,0.0,Weights:,-0.655,0.653,0.15,0.605,-0.299,-0.748
EDCA,38,54,0.0,Weights:,0.538,-0.381,-0.834,0.334,0.245,-0.45
GXZU,83,9,0.0,Weights:,-0.198,-0.157,0.231,0.116,-0.157,0.003
TTFY,46,46,0.0,Weights:,0.289,-0.831,-0.534,-0.376,-0.01,0.345
FMVL,79,13,0.0,Weights:,-0.703,-0.888,0.233,0.536,0.756,-0.423
DHGT,39,53,0.0,Weights:,-0.466,-0.806,-0.398,0.747,0.788,-0.622
ENNW,43,49,0.0,Weights:,-0.175,-0.812,0.037,0.224,0.231,0.648
QLUE,56,36,0.0,Weights:,0.193,0.757,0.491,-0.36,0.774,0.016
UDHU,47,45,0.0,Weights:,-0.326,-0.247,-0.374,-0.322,-0.186,0.568
MBFB,46,46,0.0,Weights:,0.852,-0.68,0.646,-0.828,0.896,-0.687
EWGW,12,80,0.0,Weights:,0.461,-0.679,-0.646,-0.737,0.665,0.214
